model_num,model_class,C,class_weight,dual,fit_intercept,intercept_scaling,l1_ratio,max_iter,multi_class,n_jobs,penalty,random_state,solver,tol,verbose,warm_start,fold,time_train,model_size,time_pred,accuracy_score_train,f1_score_train,precision_score_train,recall_score_train,roc_auc_score_train,accuracy_score_test,f1_score_test,precision_score_test,recall_score_test,roc_auc_score_test
668.0,LogisticRegression,1.0,,True,False,1,,100,deprecated,,l2,20,liblinear,0.0001,0,False,4.5,0.0173111,1632.0,0.00426819,0.78711111,0.85598212,0.81298409,0.90380952,0.70931217,0.752,0.83171514,0.79221231,0.87714286,0.66857143
669.0,LogisticRegression,1.0,,True,False,1,,100,deprecated,,l2,21,liblinear,0.0001,0,False,4.5,0.01391959,1632.0,0.00385666,0.78711111,0.85598212,0.81298409,0.90380952,0.70931217,0.752,0.83171514,0.79221231,0.87714286,0.66857143
670.0,LogisticRegression,1.0,balanced,True,False,1,,100,deprecated,,l2,20,liblinear,0.0001,0,False,4.5,0.02805502,1642.0,0.00529926,0.75044444,0.80642637,0.88200528,0.74285714,0.75550264,0.715,0.77803297,0.85213729,0.71857143,0.71261905
671.0,LogisticRegression,1.0,balanced,True,False,1,,100,deprecated,,l2,21,liblinear,0.0001,0,False,4.5,0.02266965,1642.0,0.00596325,0.75044444,0.80642637,0.88200528,0.74285714,0.75550264,0.715,0.77803297,0.85213729,0.71857143,0.71261905
672.0,LogisticRegression,1.5,,True,True,1,,100,deprecated,,l2,20,liblinear,0.0001,0,False,4.5,0.01398363,1661.0,0.00222061,0.78666667,0.8552673,0.81440384,0.90047619,0.71079365,0.756,0.83435486,0.79500577,0.88,0.67333333
673.0,LogisticRegression,1.5,,True,True,1,,100,deprecated,,l2,21,liblinear,0.0001,0,False,4.5,0.01487534,1661.0,0.00230198,0.78666667,0.8552673,0.81440384,0.90047619,0.71079365,0.756,0.83435486,0.79500577,0.88,0.67333333
674.0,LogisticRegression,1.5,balanced,True,True,1,,100,deprecated,,l2,20,liblinear,0.0001,0,False,4.5,0.01792984,1671.0,0.00302682,0.75177778,0.8070913,0.88471971,0.74206349,0.75825397,0.714,0.77658156,0.85248209,0.71571429,0.71285714
675.0,LogisticRegression,1.5,balanced,True,True,1,,100,deprecated,,l2,21,liblinear,0.0001,0,False,4.5,0.01676254,1671.0,0.00225163,0.75177778,0.8070913,0.88471971,0.74206349,0.75825397,0.714,0.77658156,0.85248209,0.71571429,0.71285714
676.0,LogisticRegression,1.5,,True,False,1,,100,deprecated,,l2,20,liblinear,0.0001,0,False,4.5,0.01336126,1632.0,0.00220728,0.78788889,0.85610455,0.8151477,0.90142857,0.71219577,0.754,0.83261318,0.79476831,0.87571428,0.67285714
677.0,LogisticRegression,1.5,,True,False,1,,100,deprecated,,l2,21,liblinear,0.0001,0,False,4.5,0.01275423,1632.0,0.00216672,0.78788889,0.85610455,0.8151477,0.90142857,0.71219577,0.754,0.83261318,0.79476831,0.87571428,0.67285714
678.0,LogisticRegression,1.5,balanced,True,False,1,,100,deprecated,,l2,20,liblinear,0.0001,0,False,4.5,0.01770728,1642.0,0.00212049,0.75111111,0.80686907,0.88286005,0.74301587,0.75650794,0.714,0.77707988,0.8517183,0.71714286,0.71190476
679.0,LogisticRegression,1.5,balanced,True,False,1,,100,deprecated,,l2,21,liblinear,0.0001,0,False,4.5,0.02931786,1642.0,0.00435951,0.75111111,0.80686907,0.88286005,0.74301587,0.75650794,0.714,0.77707988,0.8517183,0.71714286,0.71190476
680.0,LogisticRegression,2,,True,True,1,,100,deprecated,,l2,20,liblinear,0.0001,0,False,4.5,0.03202565,1654.0,0.00335698,0.78666667,0.85513712,0.81494964,0.89952381,0.71142857,0.757,0.83462543,0.79674871,0.87857143,0.67595238
681.0,LogisticRegression,2,,True,True,1,,100,deprecated,,l2,21,liblinear,0.0001,0,False,4.5,0.02124228,1654.0,0.0023654,0.78666667,0.85513712,0.81494964,0.89952381,0.71142857,0.757,0.83462543,0.79674871,0.87857143,0.67595238
682.0,LogisticRegression,2,balanced,True,True,1,,100,deprecated,,l2,20,liblinear,0.0001,0,False,4.5,0.02571785,1664.0,0.00425582,0.75333333,0.80833708,0.88589765,0.74333333,0.76,0.716,0.77900975,0.85179175,0.72,0.71333334
683.0,LogisticRegression,2,balanced,True,True,1,,100,deprecated,,l2,21,liblinear,0.0001,0,False,4.5,0.02333527,1664.0,0.00265448,0.75333333,0.80833708,0.88589765,0.74333333,0.76,0.716,0.77900975,0.85179175,0.72,0.71333334
684.0,LogisticRegression,2,,True,False,1,,100,deprecated,,l2,20,liblinear,0.0001,0,False,4.5,0.01952753,1625.0,0.00274282,0.78744445,0.85571446,0.81522146,0.90047619,0.71208995,0.752,0.83089675,0.7941102,0.87285714,0.67142857
685.0,LogisticRegression,2,,True,False,1,,100,deprecated,,l2,21,liblinear,0.0001,0,False,4.5,0.02199149,1625.0,0.0043782,0.78744445,0.85571446,0.81522146,0.90047619,0.71208995,0.752,0.83089675,0.7941102,0.87285714,0.67142857
686.0,LogisticRegression,2,balanced,True,False,1,,100,deprecated,,l2,20,liblinear,0.0001,0,False,4.5,0.02648866,1635.0,0.00598478,0.75233333,0.8079686,0.88325229,0.74460317,0.75748677,0.714,0.7773428,0.85081185,0.71857143,0.71095238
687.0,LogisticRegression,2,balanced,True,False,1,,100,deprecated,,l2,21,liblinear,0.0001,0,False,4.5,0.03386965,1635.0,0.0025064,0.75233333,0.8079686,0.88325229,0.74460317,0.75748677,0.714,0.7773428,0.85081185,0.71857143,0.71095238
688.0,LogisticRegression,0.5,,True,True,1,,100,deprecated,,l2,20,liblinear,0.01,0,False,4.5,0.03861642,1661.0,0.01019552,0.78466667,0.85531117,0.80745872,0.90920635,0.70164021,0.749,0.8313883,0.78639026,0.88428571,0.65880952
689.0,LogisticRegression,0.5,,True,True,1,,100,deprecated,,l2,21,liblinear,0.01,0,False,4.5,0.02633727,1661.0,0.00886779,0.78466667,0.85531153,0.80745907,0.90920635,0.70164021,0.749,0.8313883,0.78639026,0.88428571,0.65880952
690.0,LogisticRegression,0.5,balanced,True,True,1,,100,deprecated,,l2,20,liblinear,0.01,0,False,4.5,0.04552698,1671.0,0.01230066,0.748,0.80393175,0.88253752,0.73825397,0.75449736,0.716,0.7793654,0.85077154,0.72142857,0.71238095
691.0,LogisticRegression,0.5,balanced,True,True,1,,100,deprecated,,l2,21,liblinear,0.01,0,False,4.5,0.00874326,1671.0,0.00541453,0.74788889,0.80382827,0.88251516,0.73809524,0.75441799,0.716,0.7793654,0.85077154,0.72142857,0.71238095
692.0,LogisticRegression,0.5,,True,False,1,,100,deprecated,,l2,20,liblinear,0.01,0,False,4.5,0.01219552,1632.0,0.0021292,0.78433334,0.8551855,0.80686183,0.90968254,0.7007672,0.75,0.83195323,0.78698832,0.88428571,0.66047619
